章番号,問題番号,分類名称,問題,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説,類似問題回避番号
SECT001,Q0110,所得税１,利子所得でないものを選びなさい。,個人間の貸付にかかる利息,公社債利子,合同運用信託(金銭信託)の収益の分配,公社債投資信託の収益の分配,公募公社債等運用投資信託の収益の分配,1,個人間の貸付にかかる利息,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0120,所得税１,利子所得でないものを選びなさい。,株式投資信託の収益の分配,預貯金利子,公社債利子,公社債投資信託の収益の分配,公募公社債等運用投資信託の収益の分配,1,株式投資信託の収益の分配,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0130,所得税１,利子所得でないものを選びなさい。,外貨建預貯金の為替差益,預貯金利子,公社債利子,公社債投資信託の収益の分配,公募公社債等運用投資信託の収益の分配,1,外貨建預貯金の為替差益,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0140,所得税１,利子所得でないものを選びなさい。,個人間の貸付にかかる利息,預貯金利子,公社債利子,公社債投資信託の収益の分配,公募公社債等運用投資信託の収益の分配,1,個人間の貸付にかかる利息,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0150,所得税１,利子所得でないものを選びなさい。,株式投資信託の収益の分配,預貯金利子,合同運用信託(金銭信託)の収益の分配,公社債利子,公募公社債等運用投資信託の収益の分配,1,株式投資信託の収益の分配,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0160,所得税１,利子所得でないものを選びなさい。,外貨建預貯金の為替差益,預貯金利子,合同運用信託(金銭信託)の収益の分配,公社債利子,公募公社債等運用投資信託の収益の分配,1,外貨建預貯金の為替差益,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0170,所得税１,利子所得でないものを選びなさい。,個人間の貸付にかかる利息,預貯金利子,合同運用信託(金銭信託)の収益の分配,公社債利子,公募公社債等運用投資信託の収益の分配,1,個人間の貸付にかかる利息,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0180,所得税１,利子所得でないものを選びなさい。,株式投資信託の収益の分配,預貯金利子,合同運用信託(金銭信託)の収益の分配,公社債投資信託の収益の分配,公社債利子,1,株式投資信託の収益の分配,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0190,所得税１,利子所得でないものを選びなさい。,外貨建預貯金の為替差益,預貯金利子,合同運用信託(金銭信託)の収益の分配,公社債投資信託の収益の分配,公社債利子,1,外貨建預貯金の為替差益,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0200,所得税１,利子所得でないものを選びなさい。,個人間の貸付にかかる利息,預貯金利子,合同運用信託(金銭信託)の収益の分配,公社債投資信託の収益の分配,公社債利子,1,個人間の貸付にかかる利息,利子所得は次に掲げる利子等にかかる所得をいう。#・公社債の利子#・預貯金の利子#・合同運用信託の収益の分配#・公社債投資信託の収益の分配#・公募公社債等運用投資信託の収益の分配#なお、基金利息および株式投資信託の収益の分配は配当所得に、外貨建預貯金の為替差益及び個人間の貸付にかかる利息は雑所得に該当する。,2
SECT001,Q0210,所得税１,上場株式の配当に関する申告分離課税の記述として正しいものを選びなさい。,上場株式の配当を確定申告によって行う場合には、総合課税とともに申告分離課税を選択することができる,申告分離課税とは確定申告をせずに分離課税を受けることである,居住者の申告分離課税制度では課税配当所得の金額に対し、原則所得税15%・住民税15%で課税される,申告分離課税の適用を受けた上場株式等の配当所得については、配当控除が適用される,上場株式の配当にかかる申告分離課税制度では配当金額の多寡による制限は設けられている,1,上場株式の配当を確定申告によって行う場合には、総合課税とともに申告分離課税を選択することができる,一定の上場株式等の配当等について、確定申告をする場合には、総合課税とともに申告分離課税(確定申告をして分離課税を受けること)を選択することができる。#申告分離課税を選択すると、他の所得金額と区分してその年中の上場株式等の配当等にかかる課税配当所得の金額に対し、居住者については原則所得税15%・住民税5%の税率で単独課税される。ただし、申告分離課税の適用を受けた上場株式等の配当等にかかる配当所得については、、配当控除の適用は受けられない。#なお、上場株式の配当等にかかる申告分離課税の適用につき、配当収入金額の多寡による制限は設けられていない。,3
SECT001,Q0220,所得税１,上場株式の配当に関する申告分離課税の記述として正しいものを選びなさい。,申告分離課税とは確定申告をして分離課税を受けることである,上場株式の配当を確定申告によって行う場合には、総合課税とともに申告分離課税を選択することができない,居住者の申告分離課税制度では課税配当所得の金額に対し、原則所得税15%・住民税15%で課税される,申告分離課税の適用を受けた上場株式等の配当所得については、配当控除が適用される,上場株式の配当にかかる申告分離課税制度では配当金額の多寡による制限は設けられている,1,申告分離課税とは確定申告をして分離課税を受けることである,一定の上場株式等の配当等について、確定申告をする場合には、総合課税とともに申告分離課税(確定申告をして分離課税を受けること)を選択することができる。#申告分離課税を選択すると、他の所得金額と区分してその年中の上場株式等の配当等にかかる課税配当所得の金額に対し、居住者については原則所得税15%・住民税5%の税率で単独課税される。ただし、申告分離課税の適用を受けた上場株式等の配当等にかかる配当所得については、、配当控除の適用は受けられない。#なお、上場株式の配当等にかかる申告分離課税の適用につき、配当収入金額の多寡による制限は設けられていない。,3
SECT001,Q0230,所得税１,上場株式の配当に関する申告分離課税の記述として正しいものを選びなさい。,居住者の申告分離課税制度では課税配当所得の金額に対し、原則所得税15%・住民税5%で課税される,申告分離課税とは確定申告をせずに分離課税を受けることである,上場株式の配当を確定申告によって行う場合には、総合課税とともに申告分離課税を選択することができない,申告分離課税の適用を受けた上場株式等の配当所得については、配当控除が適用される,上場株式の配当にかかる申告分離課税制度では配当金額の多寡による制限は設けられている,1,居住者の申告分離課税制度では課税配当所得の金額に対し、原則所得税15%・住民税5%で課税される,一定の上場株式等の配当等について、確定申告をする場合には、総合課税とともに申告分離課税(確定申告をして分離課税を受けること)を選択することができる。#申告分離課税を選択すると、他の所得金額と区分してその年中の上場株式等の配当等にかかる課税配当所得の金額に対し、居住者については原則所得税15%・住民税5%の税率で単独課税される。ただし、申告分離課税の適用を受けた上場株式等の配当等にかかる配当所得については、、配当控除の適用は受けられない。#なお、上場株式の配当等にかかる申告分離課税の適用につき、配当収入金額の多寡による制限は設けられていない。,3
SECT001,Q0240,所得税１,上場株式の配当に関する申告分離課税の記述として正しいものを選びなさい。,申告分離課税の適用を受けた上場株式等の配当所得については、配当控除が適用されない,申告分離課税とは確定申告をせずに分離課税を受けることである,居住者の申告分離課税制度では課税配当所得の金額に対し、原則所得税15%・住民税15%で課税される,上場株式の配当を確定申告によって行う場合には、総合課税とともに申告分離課税を選択することができない,上場株式の配当にかかる申告分離課税制度では配当金額の多寡による制限は設けられている,1,申告分離課税の適用を受けた上場株式等の配当所得については、配当控除が適用されない,一定の上場株式等の配当等について、確定申告をする場合には、総合課税とともに申告分離課税(確定申告をして分離課税を受けること)を選択することができる。#申告分離課税を選択すると、他の所得金額と区分してその年中の上場株式等の配当等にかかる課税配当所得の金額に対し、居住者については原則所得税15%・住民税5%の税率で単独課税される。ただし、申告分離課税の適用を受けた上場株式等の配当等にかかる配当所得については、、配当控除の適用は受けられない。#なお、上場株式の配当等にかかる申告分離課税の適用につき、配当収入金額の多寡による制限は設けられていない。,3
SECT001,Q0250,所得税１,上場株式の配当に関する申告分離課税の記述として正しいものを選びなさい。,上場株式の配当にかかる申告分離課税制度では配当金額の多寡による制限は設けられていない,申告分離課税とは確定申告をせずに分離課税を受けることである,居住者の申告分離課税制度では課税配当所得の金額に対し、原則所得税15%・住民税15%で課税される,申告分離課税の適用を受けた上場株式等の配当所得については、配当控除が適用される,上場株式の配当を確定申告によって行う場合には、総合課税とともに申告分離課税を選択することができない,1,上場株式の配当にかかる申告分離課税制度では配当金額の多寡による制限は設けられていない,一定の上場株式等の配当等について、確定申告をする場合には、総合課税とともに申告分離課税(確定申告をして分離課税を受けること)を選択することができる。#申告分離課税を選択すると、他の所得金額と区分してその年中の上場株式等の配当等にかかる課税配当所得の金額に対し、居住者については原則所得税15%・住民税5%の税率で単独課税される。ただし、申告分離課税の適用を受けた上場株式等の配当等にかかる配当所得については、、配当控除の適用は受けられない。#なお、上場株式の配当等にかかる申告分離課税の適用につき、配当収入金額の多寡による制限は設けられていない。,3
SECT001,Q0260,所得税１,次の所得のうち、源泉分離課税されるものを選びなさい。,利子所得,割引債の償還差益,金(地金)の譲渡益,学校債の利子,組合債の利子,1,利子所得,源泉分離課税の対象となる所得のうち、所属税15%・住民税5%の税率により課税されるものは、利子所得の他、いわゆる金融類似商品としてその収益が利子所得と同様の課税扱いとされるとされるもので、例えば定期積金の給付補填金、抵当証券の利息、保険料一時払いの生命保険契約で保険期間が５年以下、または５年超で５年以内に解約されたものに基づく差益、貴金属の売戻条件付売買の利益、懸賞金付預貯金の懸賞金等である。#ただし、割引債の償還差益については、所得税のみ18％の源泉分離課税が適用される。,4
SECT001,Q0270,所得税１,次の所得のうち、源泉分離課税されるものを選びなさい。,定期積金の給付補填金,割引債の償還差益,金(地金)の譲渡益,学校債の利子,組合債の利子,1,定期積金の給付補填金,源泉分離課税の対象となる所得のうち、所属税15%・住民税5%の税率により課税されるものは、利子所得の他、いわゆる金融類似商品としてその収益が利子所得と同様の課税扱いとされるとされるもので、例えば定期積金の給付補填金、抵当証券の利息、保険料一時払いの生命保険契約で保険期間が５年以下、または５年超で５年以内に解約されたものに基づく差益、貴金属の売戻条件付売買の利益、懸賞金付預貯金の懸賞金等である。#ただし、割引債の償還差益については、所得税のみ18％の源泉分離課税が適用される。,4
SECT001,Q0280,所得税１,次の所得のうち、源泉分離課税されるものを選びなさい。,抵当証券の利息,割引債の償還差益,金(地金)の譲渡益,学校債の利子,組合債の利子,1,抵当証券の利息,源泉分離課税の対象となる所得のうち、所属税15%・住民税5%の税率により課税されるものは、利子所得の他、いわゆる金融類似商品としてその収益が利子所得と同様の課税扱いとされるとされるもので、例えば定期積金の給付補填金、抵当証券の利息、保険料一時払いの生命保険契約で保険期間が５年以下、または５年超で５年以内に解約されたものに基づく差益、貴金属の売戻条件付売買の利益、懸賞金付預貯金の懸賞金等である。#ただし、割引債の償還差益については、所得税のみ18％の源泉分離課税が適用される。,4
SECT001,Q0290,所得税１,次の所得のうち、源泉分離課税されるものを選びなさい。,貴金属の売戻条件付売買の利益,割引債の償還差益,金(地金)の譲渡益,学校債の利子,組合債の利子,1,貴金属の売戻条件付売買の利益,源泉分離課税の対象となる所得のうち、所属税15%・住民税5%の税率により課税されるものは、利子所得の他、いわゆる金融類似商品としてその収益が利子所得と同様の課税扱いとされるとされるもので、例えば定期積金の給付補填金、抵当証券の利息、保険料一時払いの生命保険契約で保険期間が５年以下、または５年超で５年以内に解約されたものに基づく差益、貴金属の売戻条件付売買の利益、懸賞金付預貯金の懸賞金等である。#ただし、割引債の償還差益については、所得税のみ18％の源泉分離課税が適用される。,4
SECT001,Q0300,所得税１,次の記述のうち、正しいものを選びなさい。,不動産所得とは、不動産、不動産の上に存する権利、船舶または航空機の貸付による所得である。,事業主の責任において車両を保管する時間極めの有料駐車場収入は不動産所得の総収入金額に含まれる,5部屋以上の賃貸アパートの賃料収入は、不動産所得の金額の計算上の総収入金額に含まれない,賃貸建物の譲渡による収入金額は不動産所得の金額の計算上の総収入金額の計算に含まれない,住み込み用宿舎の賃貸料収入は事業者の不動産所得の総収入金額の計算に含まれる。,1,不動産所得とは、不動産、不動産の上に存する権利、船舶または航空機の貸付による所得である。,不動産所得とは、不動産、不動産の上に存する権利、船舶または航空機の貸付による所得である。#不動産等の貸付にともない収受する賃料や更新料等は、貸付の規模が事業的かどうかにかかわらず、不動産所得の総収入金額に算入される。#いわゆる有料駐車場、有料自転車置き場等の所得については、事業主の責任において他人の物を補完する場合の所得は事業所得または雑所得に該当し、そうでない場合は不動産所得に該当する。,5
SECT001,Q0310,所得税１,次の記述のうち、正しいものを選びなさい。,事業主の責任において車両を保管する時間極めの有料駐車場収入は不動産所得の総収入金額に含まれない,不動産所得には船舶または航空機の貸付による所得は含まれない,5部屋以上の賃貸アパートの賃料収入は、不動産所得の金額の計算上の総収入金額に含まれない,賃貸建物の譲渡による収入金額は不動産所得の金額の計算上の総収入金額の計算に含まれない,住み込み用宿舎の賃貸料収入は事業者の不動産所得の総収入金額の計算に含まれる。,1,事業主の責任において車両を保管する時間極めの有料駐車場収入は不動産所得の総収入金額に含まれない,不動産所得とは、不動産、不動産の上に存する権利、船舶または航空機の貸付による所得である。#不動産等の貸付にともない収受する賃料や更新料等は、貸付の規模が事業的かどうかにかかわらず、不動産所得の総収入金額に算入される。#いわゆる有料駐車場、有料自転車置き場等の所得については、事業主の責任において他人の物を補完する場合の所得は事業所得または雑所得に該当し、そうでない場合は不動産所得に該当する。,5
SECT001,Q0320,所得税１,次の記述のうち、正しいものを選びなさい。,賃貸アパートの賃料収入は、金額の多寡によらず不動産所得の金額の計算上の総収入金額に含まれる,事業主の責任において車両を保管する時間極めの有料駐車場収入は不動産所得の総収入金額に含まれる,不動産所得には船舶または航空機の貸付による所得は含まれない,賃貸建物の譲渡による収入金額は不動産所得の金額の計算上の総収入金額の計算に含まれない,住み込み用宿舎の賃貸料収入は事業者の不動産所得の総収入金額の計算に含まれる。,1,賃貸アパートの賃料収入は、金額の多寡によらず不動産所得の金額の計算上の総収入金額に含まれる,不動産所得とは、不動産、不動産の上に存する権利、船舶または航空機の貸付による所得である。#不動産等の貸付にともない収受する賃料や更新料等は、貸付の規模が事業的かどうかにかかわらず、不動産所得の総収入金額に算入される。#いわゆる有料駐車場、有料自転車置き場等の所得については、事業主の責任において他人の物を補完する場合の所得は事業所得または雑所得に該当し、そうでない場合は不動産所得に該当する。,5
SECT001,Q0330,所得税１,次の記述のうち、正しいものを選びなさい。,賃貸建物の譲渡による収入金額は不動産所得の総収入金額の計算に含まれる,事業主の責任において車両を保管する時間極めの有料駐車場収入は不動産所得の総収入金額に含まれる,5部屋以上の賃貸アパートの賃料収入は、不動産所得の金額の計算上の総収入金額に含まれない,不動産所得には船舶または航空機の貸付による所得は含まれない,住み込み用宿舎の賃貸料収入は事業者の不動産所得の総収入金額の計算に含まれる。,1,賃貸建物の譲渡による収入金額は不動産所得の総収入金額の計算に含まれる,不動産所得とは、不動産、不動産の上に存する権利、船舶または航空機の貸付による所得である。#不動産等の貸付にともない収受する賃料や更新料等は、貸付の規模が事業的かどうかにかかわらず、不動産所得の総収入金額に算入される。#いわゆる有料駐車場、有料自転車置き場等の所得については、事業主の責任において他人の物を補完する場合の所得は事業所得または雑所得に該当し、そうでない場合は不動産所得に該当する。,5
SECT001,Q0340,所得税１,次の記述のうち、正しいものを選びなさい。,住み込み用宿舎の賃貸料収入は事業者の不動産所得の金額計算上の総収入金額の計算に含まれない,事業主の責任において車両を保管する時間極めの有料駐車場収入は不動産所得の総収入金額に含まれる,5部屋以上の賃貸アパートの賃料収入は、不動産所得の金額の計算上の総収入金額に含まれない,賃貸建物の譲渡による収入金額は不動産所得の金額の計算上の総収入金額の計算に含まれない,不動産所得には船舶または航空機の貸付による所得は含まれない,1,住み込み用宿舎の賃貸料収入は事業者の不動産所得の金額計算上の総収入金額の計算に含まれない,不動産所得とは、不動産、不動産の上に存する権利、船舶または航空機の貸付による所得である。#不動産等の貸付にともない収受する賃料や更新料等は、貸付の規模が事業的かどうかにかかわらず、不動産所得の総収入金額に算入される。#いわゆる有料駐車場、有料自転車置き場等の所得については、事業主の責任において他人の物を補完する場合の所得は事業所得または雑所得に該当し、そうでない場合は不動産所得に該当する。,5
SECT001,Q0350,所得税１,次のうち正しいものを選びなさい。,賃貸用不動産の修繕費用は不動産所得金額の計算上の必要経費となる,賃貸用不動産の増築／改築費用は不動産所得を計算する上で必要経費となる,賃貸用不動産の減価償却費は不動産所得を計算する上で必要経費とならない,賃貸用不動産にかかる固定資産税額は不動産所得を計算する上で必要経費とならない,賃貸用不動産の取壊しに伴う損失金額は不動産所得を計算する上で必要経費とならない,1,賃貸用不動産の修繕費用は不動産所得金額の計算上の必要経費となる,増築や改築は、土地や建物(固定資産)の取得に該当し、その費用は不動産所得の必要経費ではなく、その資産の譲渡所得等の金額計算の際の取得費とされる。,6
SECT001,Q0360,所得税１,次のうち正しいものを選びなさい。,賃貸用不動産の増築／改築費用は不動産所得を計算する上で必要経費とならない,賃貸用不動産の修繕費用は不動産所得金額の計算上の必要経費とならない,賃貸用不動産の減価償却費は不動産所得を計算する上で必要経費とならない,賃貸用不動産にかかる固定資産税額は不動産所得を計算する上で必要経費とならない,賃貸用不動産の取壊しに伴う損失金額は不動産所得を計算する上で必要経費とならない,1,賃貸用不動産の増築／改築費用は不動産所得を計算する上で必要経費とならない,増築や改築は、土地や建物(固定資産)の取得に該当し、その費用は不動産所得の必要経費ではなく、その資産の譲渡所得等の金額計算の際の取得費とされる。,6
SECT001,Q0370,所得税１,次のうち正しいものを選びなさい。,賃貸用不動産の減価償却費は不動産所得を計算する上で必要経費となる,賃貸用不動産の増築／改築費用は不動産所得を計算する上で必要経費となる,賃貸用不動産の修繕費用は不動産所得金額の計算上の必要経費とならない,賃貸用不動産にかかる固定資産税額は不動産所得を計算する上で必要経費とならない,賃貸用不動産の取壊しに伴う損失金額は不動産所得を計算する上で必要経費とならない,1,賃貸用不動産の減価償却費は不動産所得を計算する上で必要経費となる,増築や改築は、土地や建物(固定資産)の取得に該当し、その費用は不動産所得の必要経費ではなく、その資産の譲渡所得等の金額計算の際の取得費とされる。,6
SECT001,Q0380,所得税１,次のうち正しいものを選びなさい。,賃貸用不動産にかかる固定資産税額は不動産所得を計算する上で必要経費となる,賃貸用不動産の増築／改築費用は不動産所得を計算する上で必要経費となる,賃貸用不動産の減価償却費は不動産所得を計算する上で必要経費とならない,賃貸用不動産の修繕費用は不動産所得金額の計算上の必要経費とならない,賃貸用不動産の取壊しに伴う損失金額は不動産所得を計算する上で必要経費とならない,1,賃貸用不動産にかかる固定資産税額は不動産所得を計算する上で必要経費となる,増築や改築は、土地や建物(固定資産)の取得に該当し、その費用は不動産所得の必要経費ではなく、その資産の譲渡所得等の金額計算の際の取得費とされる。,6
SECT001,Q0390,所得税１,次のうち正しいものを選びなさい。,賃貸用不動産の取壊しに伴う損失金額は不動産所得を計算する上で必要経費となる,賃貸用不動産の増築／改築費用は不動産所得を計算する上で必要経費となる,賃貸用不動産の減価償却費は不動産所得を計算する上で必要経費とならない,賃貸用不動産にかかる固定資産税額は不動産所得を計算する上で必要経費とならない,賃貸用不動産の修繕費用は不動産所得金額の計算上の必要経費とならない,1,賃貸用不動産の取壊しに伴う損失金額は不動産所得を計算する上で必要経費となる,増築や改築は、土地や建物(固定資産)の取得に該当し、その費用は不動産所得の必要経費ではなく、その資産の譲渡所得等の金額計算の際の取得費とされる。,6
SECT002,Q0400,所得税２,次のうち正しいものを選びなさい。,生活用動産の譲渡所得は所得税の課税対象とならない。,金銭債権の譲渡所得は所得税の課税対象となる,公社債の譲渡所得は所得税の課税対象となる,棚卸資産の譲渡所得は所得税の課税対象となる,ゴルフ会員権(株式)の譲渡所得は所得税の課税対象とならない,1,生活用動産の譲渡所得は所得税の課税対象とならない。,何らかの資産を譲渡することによって発生する所得は原則として譲渡所得に該当する。#この譲渡所得は総合課税または分離課税の適用対象とされるが、次のものは他の所得として課税される。#・金銭債権の譲渡(事業所得または雑所得)#・棚卸資産の譲渡(事業所得または雑所得)#・山林の伐採または譲渡(山林所得、事業所得または雑所得)#・営利を目的とした継続的な譲渡(事業所得または雑所得)#なお、自己またはその配偶者その他親族が生活の用に供する家具、什器、衣服その他の資産で政令で定めるものの譲渡による所得、公社債や公社債投資信託・貸付信託の受益権等の譲渡による所得、生活用動産の譲渡については非課税とされる。#従って、これらに該当しないゴルフ会員権の譲渡は譲渡所得の課税対象となる。,7
